Sentence,Label
بھائی آپ رونے والی شکل نہ بنایا کرو بلکل باندر لگتا ہے,o
شامیر بھی گانڈو ہے اور شام بھی بس فروگی اچھی ہے,h
طنز کے لیے ویڈیو میں ماشاءاللہ شامل نہ کریں یہ مذاق نہیں ہے اگر وہ گناہ کر رہے ہیں تو انہیں چھوڑ دیں اور ویڈیوز میں ماشاءاللہ اور سبحان اللہ استعمال نہ کریں کیونکہ وہ گناہ کر رہے ہیں,n
لوگوں نے ان سبسکرائب تو ایسے کیا جیسے کبھی اپ سے پیار ہی نہیں کیا تھا جب بھی ایک ملین ہوا اس نے اپنے بال کاٹے اس نے لوگوں کو بہت انٹرٹینمنٹ کیا,n
زيد بغيرت دوست سے غيرت مند دشمن اچہا ہے,h
ڈکی بھائی سب کمال تھا لیکن آپ نے جو روڈ پے چلینے والے لوگوں کو دینے کے بجائے آپ فلسطین کے بھائیوں کو دیں گے تو میرے خیال سے یہ بہت زبردست رہے گا اور آپ کے لیے آخرت کا سامان بھی بن جاے گا اور اس سے اللہ بھی راضی ہو جائیں گے,n
دنیا کا خوبصورت لڑکی اروب جتوئی اور دنیا کا بدصورت انسان آپ ہو ایسے معلوم ہیں نا آپکو ہیں اروب جتوئی کاش ایک دن ملاقات ہوتا زندگی میں سکون ملتا,h
یہودی قوم کے افراد ہمیشہ فساد کرتے ہیں۔,h
سعد ارف ڈکی صاحب یہ جو ہر طرف کافی دنوں سے تماشا چل رہا ھے اسے دیکھ کر سب سے پہلے تو یہ چیز میرے دماغ میں آتی ھے کہ بہت ھی اچھا فیصلہ تھا میرا جو میں نے انسانوں کے بجائے پرندوں پر یوٹیوب چینل بنایا اور پھر تم لوگوں کے پھڈے کو دیکھتا ھوں تو ایک بات اور سامنے آتی ھے کہ آپ ذرا غور کرو آپ سب ایک ھی کاسٹ کے لگتے ھو اور ایک ھی نیچ کے چینل چلانے والے ھی ایک دوسرے کو گرا رھے ھو سچا کون جھوٹا کون یہ تو اللّٰه ھی جانتا ھے لیکن مشورہ یہ ھے دوستوں میں جب پٹھان دوست نھیں رکھوگے تو پھر ھر راہ چلتا ھوا بھی کھیل جائیگا تم۔ لوگوں کی جگہ میرے ساتھ ایسا ھورہا ھوتا تو میں یہ ایک گھنٹے کی ویڈیو بنانے کی بجائے باوضو ھوکر نماز ادا کرکے کلمہ پڑھتا اور جملے میں اپنی بے گناھی بتاتا دوسرے جملے میں قصور واروں کا نام اور چال بتاکر اللّٰه پر چھوڑ کر ویڈیو ختم۔ کردیتا اور لوگوں کو سب سمجھ آجاتا۔ مشتاق خٹک مشتاق برڈز اکیڈمی یوٹیوب چینل ۔ جزاک اللّٰه,n
اس بندے کی تو شکل ہی ایسی ہے کہ اس کو دیکھتے ہی غصہ آجاتا ہے بچپن میں اسے جب آئینے کے سامنے بٹھایا جاتا ہوگا تو ا سے بھی تھپڑ مارتا ہوگا کہ کتا آ گیا سامنے گھٹیا پن کی حد ہوتی ہے یار مطلب دھمکیوں تک اتر آیا یہ کمینہ اور وہ بھی فیملی کی دھمکیاں لعنت بےشمار,o
ان کے نظریات دنیا کے لیے خطرہ ہیں۔,h
کافی دنوں سے ویڈیو نی آئی اپ کی میں نے سوچا اللہ کو پیارے ھو گئے ہو ۔آپ کو زندہ دیکھ کر مجھے بہت دُکھ ہُوا ہے,n
ڈکی بھائی نے رج کے ذلیل کیتا شام کھسرے نے ماسا نی فیل کیتا,o
اللہ کی قسم میں ڈکی بھائی کو سے فالو کرتا آ رہا ہوں اور یہ وڈیو بھی مکمل دیکھی ہے ڈکی بھائی حق پر ہے سب سچ بول رہا ہے۔,n
یہ قوم فطری طور پر پرتشدد ہے۔,h
ایک میاں جہنم میں جائے گا اپنی بیوی کو منع نہیں کرتا بھائی جان میں جائے گا باپ باب جہنم میں جائے گا ماں جہنم میں جائے گی جو منع نہیں کرتی پردے کا باقی اپ کی موج ہے بے حیائی پھیلاتے جائیں اپ کو بہت ثواب ملے گا بے حیائی پھیلاتے جائیں بالکل منع نہ کریں,o
الو کا پٹھہ ۔اتنا ٹائم نہیں ہے میرے پاس آپ کی بکواس سنتا رہو,o
گشتی کے بچے مسلمان لگتا ہی نہیں تو بہن چود کال ریکارڈ کر لی تو سیدھا سیدھا معذرت کر جان چھوڑ یہ گشتی ماں کا بچہ وڈیو بنانے پر آ گیا ہے بہن چود۔۔,n
کنڈم بنانے والی کمپنیوں سے گزارش ہے کہ بیشک قیمت میں پانچ روپے کا اضافہ کرلیں مگر کنڈم اچھی کوالٹی کا بنائیں تاکہ ایسی پیداوار سے پاکستان محفوظ رہ سکے۔,o
بھاٸ اکیلا ڈکی دونوں شام اور شاہ میر کی بنڈ مار گیا یار ڈکی لو یو یار یہ ویڈیو ان دونوں کی گانڈ میں ڈال دے گی,n
یہ ڈکی دنیا کا سب سے بڑا منافق ہے اور اس کو سپورٹ کرنے والے اس کے بھی باپ ہیں افسوس ہے تم سب لوگوں پر کہ تم اس منافق کی باتوں میں اگئے افسوس سد افسوس,o
تمہارے جیسے جھوٹے اور مکار لوگ دنیا میں زہر گھولتے ہیں۔,o
جن لوگوں نے تمھیں اج اونچائی تک پہنچایا تم لوگوں کی پہچان بنائی انہی کی انسلٹ کر رہے ہو باجی پبلک کے بنا تم صفر ہو یاد رکھنا,n
اس کی ماں کی انکھ۔۔ پاکستان آکر ہمیں ہی دھمکا رہا ہے ۔۔ اسکی ماں کی,h
ڈکی آرمی آپ کے ساتھ ھے بھائی آپ بہت اچھے بہت سچے انسان ھے اللّہ تعالیٰ آپ کے ساتھ کبھی برا نہیں ہونے دے گے اللّہ تعالیٰ نے آپ کو بہت ترقی دینی ھے انشاء اللہ,n
تمھاری سوچ کا گھٹیا پن تمہاری باتوں سے صاف ظاہر ہوتا ہے۔,o
